Comment,Designator,Footprint,LCSC,Quantity
CD74HC4050M96,IC3,SOIC127P600X175-16N,C131932,1
10uF,"C10,C22",C_1206_3216Metric,C13585,2
47nH,L2,L_0603_1608Metric,C142358,1
100nF,"C12,C13,C14,C16,C21,C3,C4,C9",C_0603_1608Metric,C14663,8
10nF,C2,C_0402_1005Metric,C15195,1
220pF,C23,C_0402_1005Metric,C1530,1
1uF,"C20,C5,C6,C7,C8",C_0603_1608Metric,C15849,5
100uF,C1,C_1210_3225Metric,C16133,1
22Ω,"R14,R4,R5,R6,R7",R_0402_1005Metric,C25092,5
33Ω,R8,R_0402_1005Metric,C25105,1
4.7kΩ,"R1,R10,R2,R3,R9",R_0402_1005Metric,C25900,5
47uF,C11,C_Elec_6.3x7.7,C3349,1
MPU-6500,IC1,QFN40P300X300X95-25N-D,C50278,1
AMS1117-3.3,U2,SOT-223-3_TabPin2,C6186,1
2N7002,"Q1,Q2",SOT-23,C8545,2
Conn_Coaxial,J2,U.FL_Hirose_U.FL-R-SMT-1_Vertical,C88373,1
ATGM336H-5N31,IC5,ATGM336H5N31,C90770,1
TF-01A,J1,TF01A,C91145,1
Arduino_Mega2560_R3_Shield,A1,Arduino_Mega2560_R3_Shield,,1
